gene	state	n	percent	group
AKT1	1	40	100	Deletion
AKT3	1	10	47.6190476190476	Deletion
AKT3	2	1	4.76190476190476	Normal
AKT3	3	10	47.6190476190476	Amplification
ANGPT2	1	2	16.6666666666667	Deletion
ANGPT2	3	10	83.3333333333333	Amplification
AREG	1	18	85.7142857142857	Deletion
AREG	2	1	4.76190476190476	Normal
AREG	3	2	9.52380952380952	Amplification
ARRB1	1	11	73.3333333333333	Deletion
ARRB1	2	1	6.66666666666667	Normal
ARRB1	3	3	20	Amplification
ATF2	1	35	97.2222222222222	Deletion
ATF2	3	1	2.77777777777778	Amplification
ATF4	1	16	66.6666666666667	Deletion
ATF4	2	2	8.33333333333333	Normal
ATF4	3	6	25	Amplification
CASP3	1	37	97.3684210526316	Deletion
CASP3	3	1	2.63157894736842	Amplification
CD14	1	5	29.4117647058824	Deletion
CD14	2	1	5.88235294117647	Normal
CD14	3	11	64.7058823529412	Amplification
CDC42	3	39	100	Amplification
CRK	1	4	80	Deletion
CRK	3	1	20	Amplification
DAXX	1	4	22.2222222222222	Deletion
DAXX	2	2	11.1111111111111	Normal
DAXX	3	12	66.6666666666667	Amplification
DDIT3	1	1	12.5	Deletion
DDIT3	3	7	87.5	Amplification
DUSP1	1	3	37.5	Deletion
DUSP1	2	1	12.5	Normal
DUSP1	3	4	50	Amplification
DUSP3	1	1	5.26315789473684	Deletion
DUSP3	3	18	94.7368421052632	Amplification
DUSP4	1	5	31.25	Deletion
DUSP4	3	11	68.75	Amplification
DUSP5	1	29	96.6666666666667	Deletion
DUSP5	2	1	3.33333333333333	Normal
DUSP6	1	6	75	Deletion
DUSP6	3	2	25	Amplification
ECSIT	3	31	100	Amplification
EFNA1	3	37	100	Amplification
ELK4	1	26	92.8571428571429	Deletion
ELK4	3	2	7.14285714285714	Amplification
FGFR1	1	6	40	Deletion
FGFR1	3	9	60	Amplification
FLNB	1	1	20	Deletion
FLNB	3	4	80	Amplification
FLT1	1	1	2.77777777777778	Deletion
FLT1	3	35	97.2222222222222	Amplification
FLT4	1	10	76.9230769230769	Deletion
FLT4	2	1	7.69230769230769	Normal
FLT4	3	2	15.3846153846154	Amplification
FOS	1	6	54.5454545454545	Deletion
FOS	3	5	45.4545454545455	Amplification
GADD45A	1	4	36.3636363636364	Deletion
GADD45A	2	1	9.09090909090909	Normal
GADD45A	3	6	54.5454545454545	Amplification
GADD45B	1	1	3.125	Deletion
GADD45B	3	31	96.875	Amplification
GADD45G	1	3	23.0769230769231	Deletion
GADD45G	2	1	7.69230769230769	Normal
GADD45G	3	9	69.2307692307692	Amplification
GNG12	1	4	36.3636363636364	Deletion
GNG12	2	1	9.09090909090909	Normal
GNG12	3	6	54.5454545454545	Amplification
GRB2	1	2	33.3333333333333	Deletion
GRB2	2	1	16.6666666666667	Normal
GRB2	3	3	50	Amplification
HSPA1A	1	2	7.69230769230769	Deletion
HSPA1A	2	1	3.84615384615385	Normal
HSPA1A	3	23	88.4615384615385	Amplification
HSPA1B	1	2	7.69230769230769	Deletion
HSPA1B	2	1	3.84615384615385	Normal
HSPA1B	3	23	88.4615384615385	Amplification
HSPA6	1	21	95.4545454545455	Deletion
HSPA6	3	1	4.54545454545455	Amplification
HSPA8	1	1	3.2258064516129	Deletion
HSPA8	2	2	6.45161290322581	Normal
HSPA8	3	28	90.3225806451613	Amplification
HSPB1	3	22	100	Amplification
IGF1	1	16	94.1176470588235	Deletion
IGF1	3	1	5.88235294117647	Amplification
IGF2	1	1	2.63157894736842	Deletion
IGF2	2	1	2.63157894736842	Normal
IGF2	3	36	94.7368421052632	Amplification
IKBKB	1	6	46.1538461538462	Deletion
IKBKB	3	7	53.8461538461538	Amplification
INSR	1	2	6.06060606060606	Deletion
INSR	3	31	93.9393939393939	Amplification
IRAK4	1	18	90	Deletion
IRAK4	2	1	5	Normal
IRAK4	3	1	5	Amplification
JUN	1	3	30	Deletion
JUN	2	1	10	Normal
JUN	3	6	60	Amplification
JUND	1	1	2.85714285714286	Deletion
JUND	3	34	97.1428571428571	Amplification
KDR	1	22	95.6521739130435	Deletion
KDR	2	1	4.34782608695652	Normal
KRAS	1	15	71.4285714285714	Deletion
KRAS	2	1	4.76190476190476	Normal
KRAS	3	5	23.8095238095238	Amplification
LAMTOR3	1	1	7.69230769230769	Deletion
LAMTOR3	2	1	7.69230769230769	Normal
LAMTOR3	3	11	84.6153846153846	Amplification
MAP2K1	1	1	9.09090909090909	Deletion
MAP2K1	3	10	90.9090909090909	Amplification
MAP2K3	1	5	62.5	Deletion
MAP2K3	3	3	37.5	Amplification
MAP2K7	1	2	6.06060606060606	Deletion
MAP2K7	3	31	93.9393939393939	Amplification
MAP3K11	3	24	100	Amplification
MAP3K13	1	18	75	Deletion
MAP3K13	3	6	25	Amplification
MAP3K2	1	30	96.7741935483871	Deletion
MAP3K2	3	1	3.2258064516129	Amplification
MAP3K3	1	13	92.8571428571429	Deletion
MAP3K3	3	1	7.14285714285714	Amplification
MAP3K6	3	38	100	Amplification
MAP3K8	1	2	10.5263157894737	Deletion
MAP3K8	3	17	89.4736842105263	Amplification
MAP4K4	1	33	100	Deletion
MAPK1	1	40	100	Deletion
MAPK14	1	4	40	Deletion
MAPK14	2	2	20	Normal
MAPK14	3	4	40	Amplification
MAPK3	1	36	100	Deletion
MAPKAPK2	1	23	88.4615384615385	Deletion
MAPKAPK2	3	3	11.5384615384615	Amplification
MAX	1	10	66.6666666666667	Deletion
MAX	3	5	33.3333333333333	Amplification
MECOM	1	16	76.1904761904762	Deletion
MECOM	3	5	23.8095238095238	Amplification
MEF2C	1	21	91.304347826087	Deletion
MEF2C	2	1	4.34782608695652	Normal
MEF2C	3	1	4.34782608695652	Amplification
MET	1	3	27.2727272727273	Deletion
MET	3	8	72.7272727272727	Amplification
MKNK1	1	4	44.4444444444444	Deletion
MKNK1	2	1	11.1111111111111	Normal
MKNK1	3	4	44.4444444444444	Amplification
MKNK2	1	1	3.125	Deletion
MKNK2	3	31	96.875	Amplification
MYC	1	10	71.4285714285714	Deletion
MYC	2	1	7.14285714285714	Normal
MYC	3	3	21.4285714285714	Amplification
NF1	1	5	83.3333333333333	Deletion
NF1	3	1	16.6666666666667	Amplification
NFATC1	1	35	97.2222222222222	Deletion
NFATC1	3	1	2.77777777777778	Amplification
NFATC3	1	34	97.1428571428571	Deletion
NFATC3	3	1	2.85714285714286	Amplification
NFKB1	1	1	7.69230769230769	Deletion
NFKB1	3	12	92.3076923076923	Amplification
NFKB2	1	22	91.6666666666667	Deletion
NFKB2	2	1	4.16666666666667	Normal
NFKB2	3	1	4.16666666666667	Amplification
NR4A1	2	2	8	Normal
NR4A1	3	23	92	Amplification
NRAS	3	28	100	Amplification
PAK2	1	13	65	Deletion
PAK2	3	7	35	Amplification
PDGFB	1	16	66.6666666666667	Deletion
PDGFB	2	2	8.33333333333333	Normal
PDGFB	3	6	25	Amplification
PDGFD	1	13	100	Deletion
PDGFRB	1	1	6.66666666666667	Deletion
PDGFRB	2	1	6.66666666666667	Normal
PDGFRB	3	13	86.6666666666667	Amplification
PGF	1	6	54.5454545454545	Deletion
PGF	3	5	45.4545454545455	Amplification
PPM1A	1	9	60	Deletion
PPM1A	3	6	40	Amplification
PPM1B	1	1	9.09090909090909	Deletion
PPM1B	2	2	18.1818181818182	Normal
PPM1B	3	8	72.7272727272727	Amplification
PPP3CA	1	1	7.69230769230769	Deletion
PPP3CA	2	1	7.69230769230769	Normal
PPP3CA	3	11	84.6153846153846	Amplification
PPP3CC	1	3	21.4285714285714	Deletion
PPP3CC	3	11	78.5714285714286	Amplification
PPP5C	1	1	2.85714285714286	Deletion
PPP5C	3	34	97.1428571428571	Amplification
PRKACB	1	3	37.5	Deletion
PRKACB	2	1	12.5	Normal
PRKACB	3	4	50	Amplification
PTPN7	1	36	100	Deletion
PTPRR	1	6	66.6666666666667	Deletion
PTPRR	3	3	33.3333333333333	Amplification
RAC1	3	29	100	Amplification
RAC2	1	17	70.8333333333333	Deletion
RAC2	2	1	4.16666666666667	Normal
RAC2	3	6	25	Amplification
RAF1	1	2	12.5	Deletion
RAF1	3	14	87.5	Amplification
RAP1A	3	18	100	Amplification
RAP1B	1	5	71.4285714285714	Deletion
RAP1B	3	2	28.5714285714286	Amplification
RAPGEF2	1	33	91.6666666666667	Deletion
RAPGEF2	3	3	8.33333333333333	Amplification
RASGRF2	1	12	85.7142857142857	Deletion
RASGRF2	3	2	14.2857142857143	Amplification
RASGRP3	1	1	9.09090909090909	Deletion
RASGRP3	2	3	27.2727272727273	Normal
RASGRP3	3	7	63.6363636363636	Amplification
RELA	3	24	100	Amplification
RELB	1	1	3.125	Deletion
RELB	3	31	96.875	Amplification
RPS6KA2	1	22	88	Deletion
RPS6KA2	3	3	12	Amplification
RPS6KA5	1	16	88.8888888888889	Deletion
RPS6KA5	3	2	11.1111111111111	Amplification
RRAS	1	2	5.55555555555556	Deletion
RRAS	3	34	94.4444444444444	Amplification
SOS1	1	1	9.09090909090909	Deletion
SOS1	2	2	18.1818181818182	Normal
SOS1	3	8	72.7272727272727	Amplification
STK3	1	4	30.7692307692308	Deletion
STK3	2	1	7.69230769230769	Normal
STK3	3	8	61.5384615384615	Amplification
STK4	1	7	63.6363636363636	Deletion
STK4	2	1	9.09090909090909	Normal
STK4	3	3	27.2727272727273	Amplification
STMN1	3	39	100	Amplification
TAB2	1	18	85.7142857142857	Deletion
TAB2	3	3	14.2857142857143	Amplification
TAOK1	1	5	83.3333333333333	Deletion
TAOK1	3	1	16.6666666666667	Amplification
TAOK2	1	35	100	Deletion
TAOK3	1	22	95.6521739130435	Deletion
TAOK3	3	1	4.34782608695652	Amplification
TEK	1	3	20	Deletion
TEK	2	2	13.3333333333333	Normal
TEK	3	10	66.6666666666667	Amplification
TGFB1	1	1	3.33333333333333	Deletion
TGFB1	3	29	96.6666666666667	Amplification
TGFBR2	1	2	8	Deletion
TGFBR2	2	1	4	Normal
TGFBR2	3	22	88	Amplification
TNFRSF1A	3	40	100	Amplification
TP53	1	3	27.2727272727273	Deletion
TP53	3	8	72.7272727272727	Amplification
TRADD	1	37	97.3684210526316	Deletion
TRADD	3	1	2.63157894736842	Amplification
VEGFC	1	37	97.3684210526316	Deletion
VEGFC	3	1	2.63157894736842	Amplification
