B cells	Liver bud hepatic cells	Myofibroblast	T cells	TAC	TECs
TCGA.DD.A4NG.01A	1.49059653639616	2.16108207151647	1.92371853659509	1.97052617452155	1.94303405584735	1.93125332134736
TCGA.G3.AAV4.01A	1.37639940196655	2.12685374516087	1.8909561840401	1.90618529630299	1.90677092030314	1.91652028336625
TCGA.2Y.A9H1.01A	1.62746084260417	2.20095870059657	1.87516857066349	1.96840476595205	1.95924308825612	1.88558415282839
TCGA.BC.A10Y.01A	1.55034257005211	2.17267271632747	1.88400832312976	1.9285552309169	1.9126558287773	1.89672193293336
TCGA.K7.AAU7.01A	1.64074609326235	2.15846988231363	1.97888776386567	1.98861393037072	2.02089278830654	1.95551836859228
TCGA.BC.A10W.01A	1.50452541989795	2.14235128522996	1.94944495695386	1.97566411593286	1.99601008442346	1.94865370534858
TCGA.DD.AACV.01A	1.30126281196774	2.17194178853384	1.83153250582888	1.84648763545816	1.82151903525227	1.85815904965928
TCGA.DD.AAD3.01A	1.62366351918363	2.17893942641177	1.99441009369632	1.98143994489901	1.98771610292892	1.98308000557028
TCGA.DD.A1EI.01A	1.59338145672114	2.17327470317364	2.00278672510935	1.96896640252785	1.97507149580454	1.97561125051016
TCGA.DD.AAC9.01A	1.75069117683219	2.19119658503226	1.98661561226682	1.99054950431332	2.00978518709715	1.95007210798116
TCGA.DD.AACT.01A	1.67198134000433	2.18333575412755	1.93555514521268	1.9754438593049	1.9726288812177	1.9266313709122
TCGA.GJ.A6C0.01A	1.51539350070712	2.18773536675145	1.90906619995432	1.97031461202199	2.01824825013097	1.89387566781341
TCGA.CC.5258.01A	1.54745727089792	2.14659476176814	1.93433507272017	1.98002279491316	1.9838899582297	1.92842829418401
TCGA.DD.AADP.01A	1.6260341360065	2.18051140319147	1.94385318927169	1.96035564500133	1.94971393022738	1.9406844623995
TCGA.DD.AACW.01A	1.39960512045131	2.16797517725296	1.85261078423932	1.93227466110403	1.90872200584573	1.88212791538889
TCGA.ZS.A9CD.01A	1.56845170265717	2.1893256275429	1.98656626612025	1.96732279831686	1.98079550076036	1.96829922181211
TCGA.UB.A7MF.01A	1.76150375728279	2.1705098132283	1.86794488757728	2.01947482209802	2.02586224329258	1.88589162010762
TCGA.WX.AA46.01A	1.48352013072031	2.1726191942011	1.94750101979062	1.92891882726169	1.96248567232472	1.95381626814488
TCGA.CC.A8HV.01A	1.44103646081963	2.1567390285841	1.90818725816208	1.88967392027712	1.84343314203979	1.87437316757257
TCGA.DD.AADQ.01A	1.45582795875347	2.19115424355766	1.84583280812299	1.95985836511132	1.93802001156804	1.88912908672286
TCGA.DD.AADB.01A	1.76204878586262	2.15790217758885	1.91278459725137	2.01628460334161	1.99563769060955	1.9084098165451
TCGA.DD.A1EA.01A	1.74391211637981	2.13170988332104	1.84710278017126	1.9595859621572	1.95471331351531	1.91440739517804
TCGA.5R.AA1C.01A	1.47686081102283	2.15519172585412	1.8721772780621	1.91549911434294	1.92458990610582	1.87259403088385
TCGA.DD.A113.01A	1.64735117392337	2.17383960035592	1.92503278390304	1.95450743500389	1.95305046456768	1.92070917129468
TCGA.2Y.A9H9.01A	1.58701561305618	2.18198458600972	1.908375040658	1.9297600580502	1.92952516181726	1.92944717529293
TCGA.CC.A7IE.01A	1.71842462164294	2.16447352742103	1.94191261040981	2.02215345672008	2.02292796015466	1.93556490356609
TCGA.XR.A8TD.01A	1.809393096378	2.18280010325315	2.00245236892798	2.03330419150051	2.06378056946571	1.96630161149109
TCGA.DD.AAD2.01A	1.62105668284562	2.17991318941362	2.0018053314176	1.99781494059003	2.02201580546871	1.97239157221521
