"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","GO:0001667","ameboidal-type cell migration","98/978","496/18614",6.95819069736486e-31,3.76925190076255e-27,2.64630978837676e-27,"3397/161198/358/8692/8613/7048/1948/3791/1003/79812/54567/2697/6678/64321/1012/6781/10769/5797/9314/1839/6615/23129/8828/1942/7010/94/5872/3728/659/1910/8829/2624/54345/4208/2324/56920/5286/51564/5547/2013/10501/1947/57381/2050/9448/23328/5155/388/5793/958/4627/8503/387/4851/5829/2113/9124/28984/10163/3146/64218/9647/8766/8874/23499/2260/5371/3725/7114/56999/10000/3688/25865/301/3315/5339/285/11167/998/9564/27086/9590/55333/3164/6237/7040/397/2896/6672/6868/65979/5879/57142/4780/8826/55466/10016/7763",98
"GO:0002181","GO:0002181","cytoplasmic translation","53/978","159/18614",1.15269218240676e-28,3.12206677604871e-25,2.19193518686085e-25,"8531/6194/9349/6189/6133/6152/6203/6228/6129/6188/6164/4690/6165/6224/1973/6146/6161/6233/6234/6205/6132/6138/6229/1974/6137/6135/6154/6122/6202/6125/6130/1983/7555/6160/3192/6134/6159/6208/6187/6141/6210/6168/6156/7812/23521/8668/6181/170506/6143/6218/6155/6157/3646",53
"GO:0043542","GO:0043542","endothelial cell migration","69/978","283/18614",1.22122348227909e-27,2.20512253450194e-24,1.54816857595591e-24,"3397/161198/8613/1948/3791/1003/79812/54567/6678/1012/6781/10769/5797/9314/23129/8828/1942/7010/94/5872/3728/659/8829/2624/54345/4208/2324/5286/51564/5547/2013/57381/2050/23328/5155/388/958/4627/8503/387/4851/5829/2113/28984/3146/64218/2260/7114/56999/10000/3688/25865/301/3315/285/11167/9564/27086/55333/3164/6237/7040/2896/6672/6868/5879/4780/55466/10016",69
"GO:0010631","GO:0010631","epithelial cell migration","79/978","371/18614",2.86074371475164e-27,3.8741621757024e-24,2.71996501089412e-24,"3397/161198/8613/7048/1948/3791/1003/79812/54567/6678/1012/6781/10769/5797/9314/1839/6615/23129/8828/1942/7010/94/5872/3728/659/8829/2624/54345/4208/2324/5286/51564/5547/2013/57381/2050/9448/23328/5155/388/5793/958/4627/8503/387/4851/5829/2113/28984/3146/64218/9647/8766/23499/2260/3725/7114/56999/10000/3688/25865/301/3315/285/11167/9564/27086/55333/3164/6237/7040/2896/6672/6868/5879/57142/4780/55466/10016",79
"GO:0090132","GO:0090132","epithelium migration","79/978","374/18614",5.03235683609679e-27,5.45205539622727e-24,3.82776952606689e-24,"3397/161198/8613/7048/1948/3791/1003/79812/54567/6678/1012/6781/10769/5797/9314/1839/6615/23129/8828/1942/7010/94/5872/3728/659/8829/2624/54345/4208/2324/5286/51564/5547/2013/57381/2050/9448/23328/5155/388/5793/958/4627/8503/387/4851/5829/2113/28984/3146/64218/9647/8766/23499/2260/3725/7114/56999/10000/3688/25865/301/3315/285/11167/9564/27086/55333/3164/6237/7040/2896/6672/6868/5879/57142/4780/55466/10016",79
"GO:0090130","GO:0090130","tissue migration","79/978","379/18614",1.27173816194329e-26,1.14816760387446e-23,8.06103505105454e-24,"3397/161198/8613/7048/1948/3791/1003/79812/54567/6678/1012/6781/10769/5797/9314/1839/6615/23129/8828/1942/7010/94/5872/3728/659/8829/2624/54345/4208/2324/5286/51564/5547/2013/57381/2050/9448/23328/5155/388/5793/958/4627/8503/387/4851/5829/2113/28984/3146/64218/9647/8766/23499/2260/3725/7114/56999/10000/3688/25865/301/3315/285/11167/9564/27086/55333/3164/6237/7040/2896/6672/6868/5879/57142/4780/55466/10016",79
"GO:0003158","GO:0003158","endothelium development","47/978","137/18614",3.515510556045e-26,2.72050295458511e-23,1.91000596075046e-23,"7122/3397/5175/4855/947/3791/1003/1901/7075/54567/54538/57493/64321/81575/6781/5138/94/5962/659/1910/6935/8829/10411/54345/7082/1499/25932/388/23462/4478/387/4851/7132/23236/182/9693/3383/2701/118/25865/23135/11167/2889/27086/5906/91663/8721",47
"GO:0045446","GO:0045446","endothelial cell differentiation","40/978","119/18614",4.31697368912261e-22,2.92313080924715e-19,2.05226657089474e-19,"7122/3397/5175/4855/3791/1003/1901/7075/54538/57493/64321/81575/6781/5138/94/5962/659/1910/6935/8829/10411/54345/7082/1499/25932/23462/4478/4851/7132/23236/182/9693/3383/118/23135/11167/2889/5906/91663/8721",40
"GO:0010632","GO:0010632","regulation of epithelial cell migration","63/978","295/18614",5.14576990328804e-22,3.09718172956793e-19,2.17446393690991e-19,"8613/7048/3791/79812/54567/6678/6781/10769/5797/9314/1839/8828/1942/7010/94/3728/659/8829/2624/4208/2324/5286/51564/5547/2013/57381/9448/23328/5155/388/5793/958/387/4851/2113/28984/3146/64218/9647/8766/23499/2260/3725/7114/56999/10000/25865/301/3315/285/9564/27086/55333/6237/7040/2896/6672/6868/5879/57142/4780/55466/10016",63
"GO:0010594","GO:0010594","regulation of endothelial cell migration","54/978","232/18614",7.37507086533092e-21,3.99507588774976e-18,2.8048558985727e-18,"8613/3791/79812/54567/6678/6781/10769/5797/9314/8828/1942/7010/94/3728/659/8829/2624/4208/2324/5286/51564/5547/2013/57381/23328/5155/388/958/387/4851/2113/28984/3146/64218/2260/7114/56999/10000/25865/301/3315/285/9564/27086/55333/6237/7040/2896/6672/6868/5879/4780/55466/10016",54
