"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBP7",0,3.19395129278914,0.862,0.047,0,"0","RBP7"
"PLVAP",0,2.84894032797243,0.868,0.037,0,"0","PLVAP"
"CLDN5",0,2.83081357283243,0.755,0.029,0,"0","CLDN5"
"RAMP2",0,2.81929683888014,0.933,0.026,0,"0","RAMP2"
"PLPP1",0,2.75199069185348,0.884,0.148,0,"0","PLPP1"
"GNG11",0,2.63109975773686,0.945,0.137,0,"0","GNG11"
"TM4SF1",0,2.6023133834027,0.893,0.183,0,"0","TM4SF1"
"SLC9A3R2",0,2.48145040598289,0.784,0.068,0,"0","SLC9A3R2"
"ID1",0,2.35623277984211,0.839,0.094,0,"0","ID1"
"IFI27",0,2.29243768605877,0.978,0.314,0,"0","IFI27"
"HSPG2",0,2.2011284325344,0.897,0.051,0,"0","HSPG2"
"CLEC14A",0,2.17499473745783,0.862,0.016,0,"0","CLEC14A"
"ENG",0,2.12043924852616,0.84,0.073,0,"0","ENG"
"EGFL7",0,2.0965501814654,0.91,0.119,0,"0","EGFL7"
"SPRY1",0,2.09049538102332,0.763,0.122,0,"0","SPRY1"
"FKBP1A",0,2.05746700780566,0.974,0.425,0,"0","FKBP1A"
"A2M",0,2.03434609063093,0.92,0.215,0,"0","A2M"
"TCF4",0,1.93092029232106,0.905,0.195,0,"0","TCF4"
"RAMP3",0,1.91038173499974,0.749,0.019,0,"0","RAMP3"
"CRIP2",0,1.85111132342951,0.927,0.225,0,"0","CRIP2"
"FLT1",0,1.84789619521035,0.785,0.019,0,"0","FLT1"
"PECAM1",0,1.83254068075654,0.866,0.122,0,"0","PECAM1"
"RNASE1",0,1.80909963368447,0.85,0.052,0,"0","RNASE1"
"EPAS1",0,1.79995717679449,0.873,0.174,0,"0","EPAS1"
"AQP1",0,1.76253801436526,0.731,0.023,0,"0","AQP1"
"EMP1",0,1.74620084296151,0.787,0.068,0,"0","EMP1"
"EMCN",0,1.70796731261973,0.813,0.011,0,"0","EMCN"
"HYAL2",0,1.68465926898785,0.78,0.072,0,"0","HYAL2"
"PLPP3",0,1.66265905374993,0.668,0.076,0,"0","PLPP3"
"VWF",0,1.65407410302776,0.555,0.02,0,"0","VWF"
"APP",0,1.64252011423949,0.891,0.253,0,"0","APP"
"ESAM",0,1.63121397322324,0.84,0.106,0,"0","ESAM"
"NOTCH4",0,1.61011039618014,0.766,0.024,0,"0","NOTCH4"
"TGFBR2",0,1.54265046388297,0.798,0.083,0,"0","TGFBR2"
"ECSCR",0,1.53858792559828,0.784,0.014,0,"0","ECSCR"
"CALCRL",0,1.51002343158163,0.745,0.035,0,"0","CALCRL"
"LDB2",0,1.4881105529754,0.734,0.029,0,"0","LDB2"
"CD34",0,1.48733997409933,0.736,0.016,0,"0","CD34"
"PTRF",0,1.44105232875935,0.866,0.158,0,"0","PTRF"
"GIMAP7",0,1.43622302860644,0.733,0.083,0,"0","GIMAP7"
"ARHGAP29",0,1.42599526807197,0.78,0.112,0,"0","ARHGAP29"
"ADGRL4",0,1.40244008924252,0.731,0.008,0,"0","ADGRL4"
"PODXL",0,1.39193988529172,0.713,0.016,0,"0","PODXL"
"CD93",0,1.38347418980359,0.708,0.039,0,"0","CD93"
"PTPRB",0,1.36037401730023,0.663,0.013,0,"0","PTPRB"
"THBD",0,1.33577748322409,0.614,0.039,0,"0","THBD"
"EFNB2",0,1.29080327676885,0.603,0.014,0,"0","EFNB2"
"TMEM88",0,1.25974712472671,0.617,0.012,0,"0","TMEM88"
"SDPR",0,1.24197771973011,0.603,0.034,0,"0","SDPR"
"KDR",0,1.23686137144713,0.579,0.008,0,"0","KDR"
"PCAT19",0,1.20463431196763,0.61,0.012,0,"0","PCAT19"
"NPDC1",0,1.17371681817297,0.64,0.041,0,"0","NPDC1"
"CDH5",0,1.15305706258388,0.645,0.012,0,"0","CDH5"
"PALMD",0,1.11136218189214,0.629,0.039,0,"0","PALMD"
"TM4SF18",0,1.11039439569387,0.519,0.012,0,"0","TM4SF18"
"WWTR1",0,1.08679966065716,0.639,0.052,0,"0","WWTR1"
"CYYR1",0,1.07723828351789,0.605,0.006,0,"0","CYYR1"
"MMRN2",0,0.95966279045485,0.529,0.01,0,"0","MMRN2"
"S1PR1",0,0.94517933979612,0.579,0.019,0,"0","S1PR1"
"TIE1",0,0.919801425914251,0.558,0.017,0,"0","TIE1"
"MYCT1",0,0.867123041355618,0.523,0.006,0,"0","MYCT1"
"TIMP3",7.03682786550058e-308,1.47176758029828,0.777,0.122,1.33108635903809e-303,"0","TIMP3"
