"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","26/161","159/18614",5.33356227584027e-26,1.40059345363565e-22,1.1885422461004e-22,"6234/25873/6169/6164/6235/6168/6170/6154/6229/6167/6232/6165/6171/6160/6210/6173/6227/6231/11224/6218/6158/6223/6139/8669/6204/8894",26
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","7/161","32/18614",8.91693381183596e-09,1.17079340949406e-05,9.93534151560881e-06,"3105/567/3106/3122/972/3133/3134",7
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","6/161","25/18614",5.89500684607712e-08,5.1600959925995e-05,4.37885245373518e-05,"3105/567/3106/3122/3133/3134",6
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","8/161","71/18614",1.763121709591e-07,0.000115748940234649,9.82244384001091e-05,"3105/567/3106/3122/972/3133/811/3134",8
"GO:0002428","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","5/161","18/18614",3.55853938382817e-07,0.000186894488438656,0.000158598481590826,"3105/567/3106/3133/3134",5
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","6/161","36/18614",5.99328018775011e-07,0.000262305896217196,0.000222592529078368,"3105/567/3106/3133/811/3134",6
"GO:0001916","GO:0001916","positive regulation of T cell mediated cytotoxicity","6/161","40/18614",1.14779490069029e-06,0.000353587961659617,0.000300054401264044,"3105/567/3106/3122/3133/3134",6
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","6/161","40/18614",1.14779490069029e-06,0.000353587961659617,0.000300054401264044,"3105/567/3122/972/3133/3134",6
"GO:0001819","GO:0001819","positive regulation of cytokine production","17/161","489/18614",1.21183992952649e-06,0.000353587961659617,0.000300054401264044,"3105/567/8692/3303/3304/958/3315/972/23643/3133/22900/55959/4860/351/6284/3134/3459",17
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","5/161","23/18614",1.34951488449491e-06,0.000354382608668364,0.000300728737944814,"3105/567/3106/3133/3134",5
"GO:0002475","GO:0002475","antigen processing and presentation via MHC class Ib","5/161","25/18614",2.10123216332322e-06,0.00050162142371698,0.000425675453565097,"3105/567/3106/3133/3134",5
