"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS28",2.8450318298248e-21,0.561081014547842,0.998,1,4.13326224236947e-17,"0","RPS28"
"S100A10",1.01575419065374e-15,0.824178768221826,0.947,0.908,1.47568768818175e-11,"0","S100A10"
"FKBP1A",1.12760362780152e-15,0.656403592353483,0.992,0.983,1.63818255047005e-11,"0","FKBP1A"
"HLA-A",3.34133417652229e-15,0.587922698479432,1,0.983,4.85429029165158e-11,"0","HLA-A"
"RPL36",4.09382646601702e-15,0.610447557815083,0.998,1,5.94751108982952e-11,"0","RPL36"
"RPL38",1.86606176334352e-14,0.525918422230279,0.992,0.975,2.71101452978547e-10,"0","RPL38"
"ANXA2",9.20128699091949e-14,0.608399520212191,0.967,0.933,1.33676297404078e-09,"0","ANXA2"
"PECAM1",9.57576246083375e-14,0.634336815524877,0.923,0.849,1.39116677030993e-09,"0","PECAM1"
"TMSB10",2.364519946096e-13,0.599668186839225,1,1,3.43517457768827e-09,"0","TMSB10"
"ATP5E",4.59765134216238e-13,0.597220901072234,0.985,0.992,6.6794678698935e-09,"0","ATP5E"
"RPL34",5.22546879793639e-13,0.425012893220592,0.998,1,7.59156106964199e-09,"0","RPL34"
"ECSCR",2.0070727331688e-12,0.597127433717086,0.843,0.723,2.91587526674763e-08,"0","ECSCR"
"IFITM3",1.12817372866622e-11,0.596889443772487,1,1,1.63901079300628e-07,"0","IFITM3"
"RPS29",2.15906142456676e-11,0.581981640028685,0.987,0.975,3.13668443761059e-07,"0","RPS29"
"B2M",2.36318960041677e-11,0.337622048153491,1,1,3.43324185148548e-07,"0","B2M"
"MTRNR2L12",3.32491970604747e-11,1.65942445869019,0.956,0.899,4.83044334894577e-07,"0","MTRNR2L12"
"RPL37A",6.53105353460548e-11,0.415358013923611,0.998,1,9.48831457507484e-07,"0","RPL37A"
"RNASE1",9.02068037685051e-11,0.670764635924243,0.914,0.916,1.31052444514884e-06,"0","RNASE1"
"RPL39",1.21849840150149e-10,0.489359933742139,0.998,1,1.77023447770136e-06,"0","RPL39"
"RPL26",1.30797800996946e-10,0.425804255314042,1,1,1.90023045288363e-06,"0","RPL26"
"HLA-B",2.106189923754e-10,0.391433307563135,0.998,1,3.05987272122981e-06,"0","HLA-B"
"HYAL2",4.30802209731161e-10,0.602021312379405,0.85,0.739,6.2586945029743e-06,"0","HYAL2"
"S100A16",5.01443617383533e-10,0.566295938431025,0.873,0.832,7.28497287334797e-06,"0","S100A16"
"ENG",7.19631086903232e-10,0.677027845291668,0.908,0.815,1.04548004305301e-05,"0","ENG"
"RPS24",9.73471308023142e-10,0.443583196388552,1,0.992,1.41425911629602e-05,"0","RPS24"
"RPL37",1.37109931819412e-09,0.46673089244112,0.997,0.983,1.99193308947241e-05,"0","RPL37"
"PCAT19",3.49174011181376e-09,0.685839671951416,0.644,0.471,5.07280003444304e-05,"0","PCAT19"
"HSPA1A",4.8813590334239e-09,0.920347604597444,0.934,0.866,7.09163840375824e-05,"0","HSPA1A"
