	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	GO:0003012	muscle system process	20/183	452/18614	2.17E-08	3.07E-05	2.62E-05	MYL9/TPM2/EDNRA/CALD1/MYH11/TPM1/MYLK/FXYD1/ATP1A2/TBX2/AGT/CRYAB/CALM2/IGFBP5/PPP1R12B/GJC1/GAMT/ANXA6/C12orf57/FLNA	20
GO:0003012	GO:0006936	muscle contraction	19/183	349/18614	1.75E-09	4.96E-06	4.23E-06	MYL9/TPM2/EDNRA/CALD1/MYH11/TPM1/MYLK/FXYD1/ATP1A2/TBX2/AGT/CRYAB/CALM2/PPP1R12B/GJC1/GAMT/ANXA6/C12orf57/FLNA	19
GO:0048771	GO:0001667	ameboidal-type cell migration	18/183	496/18614	2.04E-06	0.001441583	0.001231792	PTN/ACTA2/DCN/SMOC2/EDNRA/AGT/DDR2/ZEB2/NR2F2/SERPINF1/ANXA6/SPARC/ARHGDIB/MAPRE2/TNS1/TIMP1/ILK/RRAS	18
GO:0001667	GO:0042060	wound healing	16/183	439/18614	7.34E-06	0.002346295	0.002004843	PDGFRB/ACTA2/MYL9/COL3A1/SMOC2/TPM1/AXL/MYLK/DDR2/ANXA6/SERPING1/CD36/TIMP1/SLC12A2/FLNA/ILK	16
GO:0019646	GO:0060537	muscle tissue development	15/183	426/18614	2.14E-05	0.004319149	0.00369059	PDGFRB/ITGA7/COL3A1/EDNRA/HEYL/MYH11/TPM1/MYLK/TBX2/AGT/IGFBP5/CSRP2/GJC1/NR2F2/NUPR1	15
GO:1903034	GO:0010959	regulation of metal ion transport	14/183	423/18614	7.88E-05	0.011578071	0.009893134	PDGFRB/MYLK/GEM/FXYD1/FXYD6/ATP1A2/AGT/CALM2/VAMP2/SARAF/AHCYL1/THY1/FLNA/ISCU	14
GO:0042060	GO:0032970	regulation of actin filament-based process	12/183	387/18614	0.000462435	0.026722126	0.022833299	PDGFRB/ACTA2/SYNPO2/TPM1/ATP1A2/EPS8/DSTN/ARPC2/ARHGDIB/MDK/DLC1/FLNA	12
GO:0042773	GO:0043434	response to peptide hormone	12/183	427/18614	0.00109057	0.04466597	0.038165804	COL3A1/EDNRA/MAP1B/AGT/IGFBP5/DDR2/VAMP2/CYC1/AHCYL1/RAB31/RARRES2/TIMP1	12
GO:0042775	GO:0048771	tissue remodeling	11/183	181/18614	1.81E-06	0.001441583	0.001231792	PTN/EDNRA/AXL/CSPG4/AGT/IGFBP5/DDR2/CST3/MDK/TIMP1/FLNA	11
GO:0007263	GO:0030198	extracellular matrix organization	11/183	314/18614	0.000287249	0.020851785	0.017817259	COL1A2/CRISPLD2/COL3A1/SMOC2/MYH11/TGFBI/AGT/DDR2/CST3/ADAMTS4/COL18A1	11
GO:1903036	GO:0043062	extracellular structure organization	11/183	315/18614	0.000295138	0.020851785	0.017817259	COL1A2/CRISPLD2/COL3A1/SMOC2/MYH11/TGFBI/AGT/DDR2/CST3/ADAMTS4/COL18A1	11
GO:0048844	GO:0045229	external encapsulating structure organization	11/183	317/18614	0.000311468	0.020957316	0.017907432	COL1A2/CRISPLD2/COL3A1/SMOC2/MYH11/TGFBI/AGT/DDR2/CST3/ADAMTS4/COL18A1	11
GO:0006119	GO:0007517	muscle organ development	11/183	351/18614	0.000729362	0.036806751	0.031450325	TAGLN/ITGA7/COL3A1/EDNRA/HEYL/TPM1/MYLK/CRYAB/NR2F2/NUPR1/ZFHX3	11
GO:0060537	GO:0031589	cell-substrate adhesion	11/183	359/18614	0.000876696	0.040149424	0.034306544	ITGA7/COL3A1/AXL/CD36/ARPC2/MDK/THY1/DLC1/FLNA/ILK/RRAS	11
GO:0022904	GO:0030336	negative regulation of cell migration	11/183	375/18614	0.001245883	0.04832816	0.041295042	COL3A1/DCN/TPM1/IGFBP5/NR2F2/SERPINF1/ARHGDIB/THY1/DLC1/TIMP1/RRAS	11
GO:0007568	GO:0090130	tissue migration	11/183	379/18614	0.001355857	0.049369707	0.042185014	PTN/ACTA2/DCN/SMOC2/AGT/ZEB2/NR2F2/SERPINF1/SPARC/MAPRE2/RRAS	11
GO:0032835	GO:1903034	regulation of response to wounding	10/183	170/18614	7.20E-06	0.002346295	0.002004843	PTN/ACTA2/SMOC2/MYLK/DDR2/SERPING1/CD36/MDK/SLC12A2/FLNA	10
GO:0048144	GO:0061448	connective tissue development	10/183	275/18614	0.000404724	0.024864114	0.021245681	PDGFRB/FRZB/ACTA2/COL3A1/BGN/TGFBI/ANXA6/CRIP1/MDK/TIMP1	10
GO:0010959	GO:0060485	mesenchyme development	10/183	320/18614	0.001292613	0.04936384	0.042180001	PDGFRB/FRZB/ACTA2/EDNRA/HEYL/TBX2/TGFB1I1/ANXA6/MDK/FLNA	10
GO:0014911	GO:0006119	oxidative phosphorylation	9/183	148/18614	1.60E-05	0.003474641	0.002968982	COX4I2/NUPR1/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	9
GO:1902600	GO:0007568	aging	9/183	169/18614	4.56E-05	0.008061748	0.006888535	PDGFRB/EDNRA/AGT/CRYAB/IGFBP5/SERPINF1/SERPING1/TIMP1/SLC12A2	9
GO:0006123	GO:0009060	aerobic respiration	9/183	196/18614	0.000142424	0.014689113	0.012551431	COX4I2/NUPR1/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	9
GO:0060840	GO:0008016	regulation of heart contraction	9/183	213/18614	0.000265129	0.020250113	0.017303147	EDNRA/TPM1/FXYD1/ATP1A2/TBX2/AGT/CALM2/GJC1/FLNA	9
GO:0007229	GO:0045333	cellular respiration	9/183	243/18614	0.000690131	0.035460199	0.030299734	COX4I2/NUPR1/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	9
GO:0001974	GO:0060047	heart contraction	9/183	247/18614	0.000775029	0.037122554	0.031720169	EDNRA/TPM1/FXYD1/ATP1A2/TBX2/AGT/CALM2/GJC1/FLNA	9
GO:0072006	GO:0090257	regulation of muscle system process	9/183	254/18614	0.000944006	0.041042459	0.035069617	MYL9/TPM1/ATP1A2/AGT/CALM2/IGFBP5/PPP1R12B/ANXA6/C12orf57	9
GO:0009060	GO:0003015	heart process	9/183	259/18614	0.001082129	0.04466597	0.038165804	EDNRA/TPM1/FXYD1/ATP1A2/TBX2/AGT/CALM2/GJC1/FLNA	9
GO:0014820	GO:1903522	regulation of blood circulation	9/183	261/18614	0.001141769	0.046094864	0.039386754	EDNRA/TPM1/FXYD1/ATP1A2/TBX2/AGT/CALM2/GJC1/FLNA	9
GO:0035023	GO:0019646	aerobic electron transport chain	8/183	94/18614	4.05E-06	0.002291817	0.001958293	COX4I2/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	8
GO:0072012	GO:0042773	ATP synthesis coupled electron transport	8/183	102/18614	7.47E-06	0.002346295	0.002004843	COX4I2/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	8
GO:0048145	GO:0042775	mitochondrial ATP synthesis coupled electron transport	8/183	102/18614	7.47E-06	0.002346295	0.002004843	COX4I2/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	8
GO:0061437	GO:0022904	respiratory electron transport chain	8/183	124/18614	3.12E-05	0.005882924	0.005026792	COX4I2/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	8
GO:0061440	GO:1902600	proton transmembrane transport	8/183	143/18614	8.60E-05	0.011578071	0.009893134	COX4I2/ATP1A2/SLC25A5/SLC25A3/CYC1/ATP6V1G1/COX4I1/COX8A	8
GO:0010811	GO:0072006	nephron development	8/183	152/18614	0.000131661	0.014310582	0.012227987	PDGFRB/NOTCH3/ACTA2/EDNRA/HEYL/ENPEP/AGT/ILK	8
GO:0072537	GO:0022900	electron transport chain	8/183	177/18614	0.000371547	0.024418385	0.020864818	COX4I2/CYCS/CYC1/COX4I1/NDUFB7/COX8A/ISCU/NDUFS8	8
GO:0014910	GO:0007565	female pregnancy	8/183	187/18614	0.000535474	0.02967156	0.025353507	PTN/TPPP3/PGF/AGT/IGFBP5/NR2F2/ARHGDIB/TIMP1	8
GO:0008016	GO:0008217	regulation of blood pressure	8/183	187/18614	0.000535474	0.02967156	0.025353507	COL1A2/ACTA2/EDNRA/ENPEP/TPM1/ATP1A2/AGT/NR2F2	8
GO:0030198	GO:0031099	regeneration	8/183	190/18614	0.000594697	0.032319496	0.027616092	PTN/AXL/PGF/MAP1B/CCND1/MDK/THY1/FLNA	8
GO:0043062	GO:0044703	multi-organism reproductive process	8/183	207/18614	0.001038287	0.044457567	0.03798773	PTN/TPPP3/PGF/AGT/IGFBP5/NR2F2/ARHGDIB/TIMP1	8
GO:1990776	GO:0044706	multi-multicellular organism process	8/183	216/18614	0.001362646	0.049369707	0.042185014	PTN/TPPP3/PGF/AGT/IGFBP5/NR2F2/ARHGDIB/TIMP1	8
GO:0007266	GO:1903036	positive regulation of response to wounding	7/183	76/18614	9.77E-06	0.002509087	0.002143943	PTN/SMOC2/MYLK/DDR2/CD36/MDK/FLNA	7
GO:0045229	GO:0048844	artery morphogenesis	7/183	80/18614	1.37E-05	0.003233516	0.002762947	PDGFRB/NOTCH3/COL3A1/EDNRA/MYLK/TBX2/MDK	7
GO:0022900	GO:0048144	fibroblast proliferation	7/183	103/18614	7.08E-05	0.011122733	0.00950406	PDGFRB/COL3A1/AGT/DDR2/NUPR1/FTH1/GSTP1	7
GO:0035904	GO:0060840	artery development	7/183	109/18614	0.000101407	0.012459874	0.010646609	PDGFRB/NOTCH3/COL3A1/EDNRA/MYLK/TBX2/MDK	7
GO:0014909	GO:0007229	integrin-mediated signaling pathway	7/183	112/18614	0.000120288	0.014163941	0.012102686	PTN/ITGA7/COL3A1/THY1/TIMP1/FLNA/ILK	7
GO:0061448	GO:0010811	positive regulation of cell-substrate adhesion	7/183	125/18614	0.00023793	0.019776145	0.016898155	CD36/ARPC2/MDK/THY1/FLNA/ILK/RRAS	7
GO:0061041	GO:0007266	Rho protein signal transduction	7/183	130/18614	0.000302521	0.020851785	0.017817259	PDGFRB/COL1A2/COL3A1/GPR20/EPS8/ARHGDIB/DLC1	7
GO:0032970	GO:0061041	regulation of wound healing	7/183	137/18614	0.000415866	0.025005036	0.021366094	ACTA2/SMOC2/MYLK/DDR2/SERPING1/CD36/SLC12A2	7
GO:0035909	GO:0051017	actin filament bundle assembly	7/183	161/18614	0.001082775	0.04466597	0.038165804	SYNPO2/CALD1/TPM1/EPS8/MYO1B/DLC1/FLNA	7
GO:0007565	GO:0061572	actin filament bundle organization	7/183	165/18614	0.001248392	0.04832816	0.041295042	SYNPO2/CALD1/TPM1/EPS8/MYO1B/DLC1/FLNA	7
GO:0008217	GO:0032835	glomerulus development	6/183	69/18614	5.97E-05	0.009918351	0.008474949	PDGFRB/NOTCH3/ACTA2/EDNRA/HEYL/ENPEP	6
GO:0031099	GO:0035023	regulation of Rho protein signal transduction	6/183	83/18614	0.000167698	0.01634189	0.013963681	PDGFRB/COL3A1/GPR20/EPS8/ARHGDIB/DLC1	6
GO:0030239	GO:0048145	regulation of fibroblast proliferation	6/183	87/18614	0.000217209	0.019776145	0.016898155	PDGFRB/AGT/DDR2/NUPR1/FTH1/GSTP1	6
GO:0055002	GO:0014910	regulation of smooth muscle cell migration	6/183	90/18614	0.000261383	0.020250113	0.017303147	PDGFRB/TPM1/AGT/IGFBP5/DDR2/MDK	6
GO:0045333	GO:0014909	smooth muscle cell migration	6/183	97/18614	0.000392014	0.024618497	0.021035807	PDGFRB/TPM1/AGT/IGFBP5/DDR2/MDK	6
